ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff
62,54,8,60,60.10859375,1.5623365825411,0.99
62,54,8,60,60.10859375,1.5623365825411,1
62,54,8,60,60.10859375,1.5623365825411,1.01
62,54,8,60,60.10859375,1.5623365825411,1.02
62,52,10,60,60.0703125,1.77544538455177,0.98
62,52,10,60,60.0703125,1.77544538455177,0.99
62,52,10,60,60.0703125,1.77544538455177,1
62,52,10,60,60.0703125,1.77544538455177,1.01
62,52,10,60,60.0703125,1.77544538455177,1.02
62,53,9,60,59.91640625,1.69210452508339,0.98
62,53,9,60,59.91640625,1.69210452508339,0.99
62,53,9,60,59.91640625,1.69210452508339,1
62,53,9,60,59.91640625,1.69210452508339,1.01
62,53,9,60,59.91640625,1.69210452508339,1.02
62,52,10,60,60.046875,1.67331713274551,0.98
62,52,10,60,60.046875,1.67331713274551,0.99
62,52,10,60,60.046875,1.67331713274551,1
62,52,10,60,60.046875,1.67331713274551,1.01
62,52,10,60,60.046875,1.67331713274551,1.02
62,52,10,60,60.0703125,1.77544538455177,0.98
62,52,10,60,60.0703125,1.77544538455177,0.99
62,52,10,60,60.0703125,1.77544538455177,1
62,52,10,60,60.0703125,1.77544538455177,1.01
62,52,10,60,60.0703125,1.77544538455177,1.02
62,53,9,60,59.91640625,1.69210452508339,0.98
62,53,9,60,59.91640625,1.69210452508339,0.99
62,53,9,60,59.91640625,1.69210452508339,1
62,53,9,60,59.91640625,1.69210452508339,1.01
62,53,9,60,59.91640625,1.69210452508339,1.02
62,51,11,60,60.03046875,1.7053958699667,0.98
62,51,11,60,60.03046875,1.7053958699667,0.99
62,51,11,60,60.03046875,1.7053958699667,1
62,51,11,60,60.03046875,1.7053958699667,1.01
62,51,11,60,60.03046875,1.7053958699667,1.02
63,63,0,63,63,0,0.98
63,63,0,63,63,0,0.99
63,63,0,63,63,0,1
63,63,0,63,63,0,1.01
63,63,0,63,63,0,1.02
63,61,2,62,62.0515625,0.748517886615457,0.98
63,61,2,62,62.0515625,0.748517886615457,0.99
63,61,2,62,62.0515625,0.748517886615457,1
63,61,2,62,62.0515625,0.748517886615457,1.01
63,61,2,62,62.0515625,0.748517886615457,1.02
63,61,2,62,62.06015625,0.732560051388115,0.98
63,61,2,62,62.06015625,0.732560051388115,0.99
63,61,2,62,62.06015625,0.732560051388115,1
63,61,2,62,62.06015625,0.732560051388115,1.01
63,61,2,62,62.06015625,0.732560051388115,1.02
63,61,2,62,62.003125,0.739792407963461,0.98
63,61,2,62,62.003125,0.739792407963461,0.99
63,61,2,62,62.003125,0.739792407963461,1
63,61,2,62,62.003125,0.739792407963461,1.01
63,61,2,62,62.003125,0.739792407963461,1.02
63,59,4,62,61.4546875,1.16549689578029,0.98
63,59,4,62,61.4546875,1.16549689578029,0.99
63,59,4,62,61.4546875,1.16549689578029,1
63,59,4,62,61.4546875,1.16549689578029,1.01
63,59,4,62,61.4546875,1.16549689578029,1.02
63,59,4,61,61.34609375,1.19475020166167,0.98
63,59,4,61,61.34609375,1.19475020166167,0.99
63,59,4,61,61.34609375,1.19475020166167,1
63,59,4,61,61.34609375,1.19475020166167,1.01
63,59,4,61,61.34609375,1.19475020166167,1.02
63,59,4,61,61.2859375,1.17816559916088,0.98
63,59,4,61,61.2859375,1.17816559916088,0.99
63,59,4,61,61.2859375,1.17816559916088,1
63,59,4,61,61.2859375,1.17816559916088,1.01
63,59,4,61,61.2859375,1.17816559916088,1.02
63,57,6,61,61.178125,1.46829604507976,0.98
63,57,6,61,61.178125,1.46829604507976,0.99
63,57,6,61,61.178125,1.46829604507976,1
63,57,6,61,61.178125,1.46829604507976,1.01
63,57,6,61,61.178125,1.46829604507976,1.02
63,57,6,61,61.03671875,1.52161240626332,0.98
63,57,6,61,61.03671875,1.52161240626332,0.99
63,57,6,61,61.03671875,1.52161240626332,1
63,57,6,61,61.03671875,1.52161240626332,1.01
63,57,6,61,61.03671875,1.52161240626332,1.02
63,57,6,61,60.9421875,1.50311687506643,0.98
63,57,6,61,60.9421875,1.50311687506643,0.99
63,57,6,61,60.9421875,1.50311687506643,1
63,57,6,61,60.9421875,1.50311687506643,1.01
63,57,6,61,60.9421875,1.50311687506643,1.02
63,55,8,61,61.0734375,1.63739931740203,0.98
63,55,8,61,61.0734375,1.63739931740203,0.99
63,55,8,61,61.0734375,1.63739931740203,1
63,55,8,61,61.0734375,1.63739931740203,1.01
63,55,8,61,61.0734375,1.63739931740203,1.02
63,55,8,61,60.94921875,1.66875795219384,0.98
63,55,8,61,60.94921875,1.66875795219384,0.99
63,55,8,61,60.94921875,1.66875795219384,1
63,55,8,61,60.94921875,1.66875795219384,1.01
63,55,8,61,60.94921875,1.66875795219384,1.02
63,55,8,61,60.8421875,1.64953659353672,0.98
63,55,8,61,60.8421875,1.64953659353672,0.99
63,55,8,61,60.8421875,1.64953659353672,1
63,55,8,61,60.8421875,1.64953659353672,1.01
63,55,8,61,60.8421875,1.64953659353672,1.02
63,53,10,61,61.02890625,1.74216226957595,0.98
63,53,10,61,61.02890625,1.74216226957595,0.99
63,53,10,61,61.02890625,1.74216226957595,1
63,53,10,61,61.02890625,1.74216226957595,1.01
63,53,10,61,61.02890625,1.74216226957595,1.02
63,53,10,61,60.92265625,1.72896561626549,0.98
63,53,10,61,60.92265625,1.72896561626549,0.99
63,53,10,61,60.92265625,1.72896561626549,1
63,53,10,61,60.92265625,1.72896561626549,1.01
63,53,10,61,60.92265625,1.72896561626549,1.02
63,53,10,61,60.78984375,1.75078848957344,0.98
63,53,10,61,60.78984375,1.75078848957344,0.99
63,53,10,61,60.78984375,1.75078848957344,1
63,53,10,61,60.78984375,1.75078848957344,1.01
63,53,10,61,60.78984375,1.75078848957344,1.02
63,52,11,61,61.0171875,1.77367199161924,0.98
63,52,11,61,61.0171875,1.77367199161924,0.99
63,52,11,61,61.0171875,1.77367199161924,1
63,52,11,61,61.0171875,1.77367199161924,1.01
63,52,11,61,61.0171875,1.77367199161924,1.02
63,53,10,61,60.92265625,1.72896561626549,0.98
63,53,10,61,60.92265625,1.72896561626549,0.99
63,53,10,61,60.92265625,1.72896561626549,1
63,53,10,61,60.92265625,1.72896561626549,1.01
63,53,10,61,60.92265625,1.72896561626549,1.02
63,53,10,61,60.78984375,1.75078848957344,0.98
63,53,10,61,60.78984375,1.75078848957344,0.99
63,53,10,61,60.78984375,1.75078848957344,1
63,53,10,61,60.78984375,1.75078848957344,1.01
63,53,10,61,60.78984375,1.75078848957344,1.02
64,64,0,64,64,0,0.98
64,64,0,64,64,0,0.99
64,64,0,64,64,0,1
64,64,0,64,64,0,1.01
64,64,0,64,64,0,1.02
64,62,2,63,63.05390625,0.738360538750371,0.98
64,62,2,63,63.05390625,0.738360538750371,0.99
64,62,2,63,63.05390625,0.738360538750371,1
64,62,2,63,63.05390625,0.738360538750371,1.01
64,62,2,63,63.05390625,0.738360538750371,1.02
64,62,2,63,63.01171875,0.730666483135634,0.98
64,62,2,63,63.01171875,0.730666483135634,0.99
64,62,2,63,63.01171875,0.730666483135634,1
64,62,2,63,63.01171875,0.730666483135634,1.01
64,62,2,63,63.01171875,0.730666483135634,1.02
64,62,2,63,63.0484375,0.72861585175003,0.98
64,62,2,63,63.0484375,0.72861585175003,0.99
64,62,2,63,63.0484375,0.72861585175003,1
64,62,2,63,63.0484375,0.72861585175003,1.01
64,62,2,63,63.0484375,0.72861585175003,1.02
64,60,4,63,62.4421875,1.1809412616583,0.98
64,60,4,63,62.4421875,1.1809412616583,0.99
64,60,4,63,62.4421875,1.1809412616583,1
64,60,4,63,62.4421875,1.1809412616583,1.01
64,60,4,63,62.4421875,1.1809412616583,1.02
64,60,4,62,62.34375,1.18128155583319,0.98
64,60,4,62,62.34375,1.18128155583319,0.99
64,60,4,62,62.34375,1.18128155583319,1
64,60,4,62,62.34375,1.18128155583319,1.01
64,60,4,62,62.34375,1.18128155583319,1.02
64,60,4,63,62.45078125,1.1646672232911,0.98
64,60,4,63,62.45078125,1.1646672232911,0.99
64,60,4,63,62.45078125,1.1646672232911,1
64,60,4,63,62.45078125,1.1646672232911,1.01
64,60,4,63,62.45078125,1.1646672232911,1.02
64,58,6,62,62.17734375,1.46385776938855,0.98
64,58,6,62,62.17734375,1.46385776938855,0.99
64,58,6,62,62.17734375,1.46385776938855,1
64,58,6,62,62.17734375,1.46385776938855,1.01
64,58,6,62,62.17734375,1.46385776938855,1.02
64,58,6,62,62.015625,1.51554042619277,0.98
64,58,6,62,62.015625,1.51554042619277,0.99
64,58,6,62,62.015625,1.51554042619277,1
64,58,6,62,62.015625,1.51554042619277,1.01
64,58,6,62,62.015625,1.51554042619277,1.02
