ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff
52,51,1,51,51.49609375,0.500180162029524,0.99
52,51,1,51,51.49375,0.500156347721145,1.004
52,50,2,51,51.07265625,0.73568856268043,1.018
52,50,2,51,50.98125,0.731054696659166,0.985
52,50,2,51,51.065625,0.727268229337858,1.017
52,50,2,51,51.09921875,0.736833460607508,0.984
52,50,2,51,51.09921875,0.736833460607508,1.004
52,50,2,51,51.06640625,0.726659470806581,1.017
52,50,2,51,51.0625,0.735027776809681,0.983
52,50,2,51,51.0765625,0.741117257185107,1.007
52,49,3,51,50.64765625,0.966237299103212,0.982
52,49,3,51,50.64765625,0.966237299103212,1.02
52,49,3,51,50.734375,0.95549417397348,1.017
52,49,3,51,50.665625,0.951065202573682,1.002
52,48,4,51,50.4109375,1.15825448832896,0.995
52,48,4,50.5,50.38046875,1.18490364699343,1.017
52,48,4,51,50.42109375,1.15764125826534,1.017
52,48,4,51,50.4296875,1.17694555545292,0.986
52,47,5,50,50.2140625,1.33085911543809,0.993
52,47,5,51,50.365625,1.30641273335309,0.991
52,47,5,50.5,50.340625,1.27570903494079,1.018
52,47,5,50,50.19140625,1.31987438356435,0.984
52,47,5,50,50.2046875,1.36193415418809,1.01
52,47,5,51,50.40078125,1.25467046742232,0.988
52,47,5,50,50.24140625,1.35734341001858,1.01
52,47,5,50,50.2578125,1.344179784261,1.004
52,46,6,50,50.059375,1.50721161909603,1.002
52,46,6,50,50.19609375,1.42681251579823,1.006
52,46,6,51,50.23046875,1.43643304388411,1.011
52,46,6,50,50.21953125,1.44357293870413,1.015
52,46,6,50,50.18828125,1.51294239745148,0.993
52,46,6,50,50.18828125,1.51294239745148,0.999
52,45,7,50,50.046875,1.56765276248833,0.983
52,45,7,50,49.8796875,1.58508289481167,1.008
52,45,7,50,50.1171875,1.59466023425219,0.999
52,45,7,50,49.84375,1.64683932118605,1.004
52,45,7,50,50.06484375,1.62746606496462,0.992
52,44,8,50,50.05859375,1.66521827131637,0.983
52,44,8,50,50.08046875,1.59913769735371,0.981
52,44,8,50,49.94296875,1.7544396312395,0.992
52,44,8,50,49.9578125,1.71952906325381,0.981
52,43,9,50,49.89765625,1.69799425638677,1.004
52,43,9,50,50.01953125,1.66988496856778,1.004
52,43,9,50,50.00234375,1.67653934698178,0.993
52,43,9,50,49.8875,1.74213299295117,1.001
52,43,9,50,50.15625,1.58293034938642,1.016
52,42,10,50,49.7859375,1.81543785386638,0.984
52,42,10,50,49.7859375,1.81543785386638,1.011
52,42,10,50,50.0921875,1.7352352407934,0.988
52,42,10,50,49.9734375,1.77135068482549,1
52,42,10,50,49.88359375,1.81076087333008,1
52,43,9,50,49.98671875,1.65772865198742,0.992
52,41,11,50,49.6578125,2.01171741032752,0.987
52,41,11,50,49.853125,1.88413140032701,0.981
52,41,11,50,50.0078125,1.85938901307786,0.985
52,42,10,50,50.075,1.62004642835428,1.005
52,42,10,50,49.971875,1.74553770410897,1.001
52,41,11,50,49.85546875,1.77601554354317,1.004
52,42,10,50,50.075,1.67649435050384,0.993
52,42,10,50,50.075,1.67649435050384,0.996
52,40,12,50,49.9875,1.80776710117847,1.008
52,41,11,50,49.94765625,1.78725681380461,0.996
53,52,1,53,52.51953125,0.499813662502731,1.019
53,52,1,53,52.50625,0.500156347721145,0.981
53,52,1,52,52.47890625,0.499750108586338,0.984
53,52,1,53,52.5125,0.500039091513294,0.99
53,52,1,53,52.5125,0.500039091513294,0.982
53,52,1,53,52.52109375,0.499750108586337,1.004
53,51,2,52,52.0140625,0.721471692750442,0.988
53,51,2,52,51.9828125,0.723568320306854,1.013
53,51,2,52,52.0796875,0.728011995772772,1.006
53,51,2,52,52.08046875,0.738059348451989,1.005
53,51,2,52,52.0171875,0.734294444161967,1.005
53,51,2,52,52,0.73129529390006,0.985
53,50,3,52,51.659375,0.94305721961519,0.995
53,50,3,52,51.65703125,0.938465101365856,1.001
53,50,3,52,51.71171875,0.931854909375198,0.99
53,50,3,52,51.63515625,0.966449685764018,1.004
53,50,3,52,51.66640625,0.961558005981075,0.98
53,50,3,52,51.7125,0.958970649604143,1.019
53,50,3,52,51.684375,0.956639078659151,1.014
53,49,4,52,51.4203125,1.15826292621964,0.996
53,49,4,51,51.3453125,1.15674311431943,0.988
53,49,4,52,51.55078125,1.14017515723297,1
53,49,4,52,51.46015625,1.19941605832242,0.98
53,49,4,51,51.375,1.16704822681912,1.011
53,49,4,51,51.390625,1.15109068854733,1.001
53,48,5,51,51.30078125,1.33667788007511,1.013
53,48,5,51,51.334375,1.27429862356404,1.015
53,48,5,52,51.32109375,1.30405947905081,1.015
53,48,5,51,51.13515625,1.32150610903165,1.002
53,48,5,51,51.2296875,1.32116702592774,1.002
53,47,6,51,51.203125,1.39225701414371,0.986
53,47,6,51,51.146875,1.47440702489463,0.989
53,47,6,51,51.26015625,1.36994660093223,0.989
53,46,7,52,51.26484375,1.50298581348968,1.019
53,46,7,51,51.00859375,1.54952273132046,0.996
53,46,7,51,50.990625,1.58419863054366,1.008
53,46,7,51,51.01171875,1.53988520909616,0.98
53,46,7,51,51.0171875,1.55775491377299,0.992
53,46,7,51,51.17890625,1.50735244410023,0.987
53,45,8,51,51.13046875,1.5485905515799,1.013
53,45,8,51,51.07265625,1.54024534482139,1.019
53,45,8,51,50.96171875,1.58005656482461,0.982
53,45,8,51,50.96171875,1.58005656482461,1.017
53,45,8,51,51.10859375,1.56133537519366,0.995
53,45,8,51,51.07109375,1.67176115362493,1.011
53,45,8,51,50.95390625,1.63720438814504,1.009
53,45,8,51,51.08671875,1.6465127027558,1.007
53,44,9,51,50.95625,1.63798489827416,0.994
53,44,9,51,51.10078125,1.61065626967342,1.019
53,44,9,51,51.15078125,1.51197958531823,1.008
53,44,9,51,50.88671875,1.6750419734393,1.02
53,44,9,51,50.87734375,1.80948395633479,0.987
53,44,9,51,51.17578125,1.59245907145312,0.986
53,44,9,51,51.12578125,1.59767942025495,0.984
53,44,9,51,51.0328125,1.66850554992572,1.001
53,45,8,51,50.9953125,1.58816278881738,1.001
53,43,10,51,50.9921875,1.6308983587602,0.987
53,44,9,51,50.946875,1.61656483347522,1.019
53,44,9,51,50.9984375,1.63999963648235,0.984
53,42,11,51,50.9328125,1.89691776558246,0.989
53,42,11,52,51.19921875,1.5718893028003,1.002
53,44,9,52,51.17890625,1.66179308866854,1.02
53,42,11,51,50.93984375,1.71421139153805,1.002
53,42,11,51,50.93984375,1.71421139153805,1.003
53,44,9,51,51.00546875,1.71023724372614,0.998
53,42,11,51,50.9640625,1.76986035834399,0.997
53,41,12,51,51.00859375,1.71068149338617,0.994
53,41,12,51,50.8765625,1.78572588793282,1.01
53,41,12,51,51.06171875,1.7930724608022,1.015
53,44,9,51,50.90703125,1.60529243893551,0.985
53,44,9,51,50.90703125,1.60529243893551,0.986
53,41,12,51,50.83125,1.9164629754316,1.015
53,41,12,52,51.06796875,1.7967668641188,0.98
54,53,1,53,53.48984375,0.500092226638891,0.983
54,53,1,53,53.490625,0.500107494308929,0.988
54,52,2,53,53.0421875,0.744918608564358,1.018
54,52,2,53,53.025,0.733003930093454,1.005
54,52,2,53,53.040625,0.731235152011402,1.001
54,52,2,53,53.06484375,0.727875639541533,1.016
54,52,2,53,53.0625,0.727543662661539,1.02
54,52,2,53,53.01015625,0.730689890438518,0.988
