ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff,EnvelopeAvgTimeDiff,EnvelopeAvgAmpReduc,PhaseDiffMean,Win4_PeakAmp,Win4_PeakFreq,Win4_fwhmFreqRange
61,55,6,59,59.1851577758789,1.41617977619171,0.980000019073486,8.84449982549995e-05,-0.154365956783295,-1.85423755645752,9.95801883618697e-07,48828.125,31250
61,55,6,59,59.1851577758789,1.41617977619171,0.990000009536743,8.76400008564815e-05,-0.154282450675964,-1.58199644088745,9.98653831629781e-07,47851.5625,31250
61,55,6,59,59.1851577758789,1.41617977619171,1,8.67400012793951e-05,-0.154876708984375,-1.31559360027313,9.93535422821878e-07,47851.5625,32226.5625
61,55,6,59,59.1851577758789,1.41617977619171,1.00999999046326,8.59200008562766e-05,-0.155957579612732,-1.05504620075226,9.81169364422385e-07,46875,32226.5625
61,55,6,59,59.1851577758789,1.41617977619171,1.01999998092651,8.51799995871261e-05,-0.156843960285187,-0.800450146198273,9.63050979407853e-07,45898.4375,33203.125
61,53,8,59,59.0164070129395,1.62723481655121,0.980000019073486,8.76350022736005e-05,-0.170641988515854,-2.098060131073,9.55656560108764e-07,47851.5625,31250
61,53,8,59,59.0164070129395,1.62723481655121,0.990000009536743,8.70750009198673e-05,-0.171938598155975,-1.82697415351868,9.48188471738831e-07,47851.5625,32226.5625
61,53,8,59,59.0164070129395,1.62723481655121,1,8.6294996435754e-05,-0.172696053981781,-1.56279468536377,9.36802678097592e-07,46875,32226.5625
61,53,8,59,59.0164070129395,1.62723481655121,1.00999999046326,8.53849996929057e-05,-0.173449367284775,-1.30472338199615,9.26548580082454e-07,45898.4375,33203.125
61,53,8,59,59.0164070129395,1.62723481655121,1.01999998092651,8.43750021886081e-05,-0.174313366413116,-1.05260944366455,9.1974516180926e-07,44921.875,32226.5625
61,53,8,59,59.0046882629395,1.58224403858185,0.980000019073486,8.90800001798198e-05,-0.150154680013657,-1.98602700233459,1.00164800187486e-06,48828.125,31250
