ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff,EnvelopeAvgTimeDiff,EnvelopeAvgAmpReduc,PhaseDiffMean,Win4_PeakAmp,Win4_PeakFreq,Win4_fwhmFreqRange
50,45,5,48,48.1632804870605,1.35920524597168,1.01900005340576,9.00250015547499e-05,-0.202782839536667,2.05252838134766,1.11729514173931e-06,48828.125,28320.3125
50,44,6,48,48.0828132629395,1.51076972484589,1.01999998092651,8.93949982128106e-05,-0.199013978242874,1.90834331512451,1.1652763305392e-06,47851.5625,29296.875
50,44,6,48,47.9789047241211,1.54232203960419,0.981000006198883,9.15499986149371e-05,-0.195558160543442,0.807719349861145,9.26585016713943e-07,51757.8125,30273.4375
50,44,6,48,48.171875,1.45083284378052,0.980000019073486,9.13199983187951e-05,-0.188796043395996,0.904714107513428,9.79461901806644e-07,48828.125,31250
50,44,6,48,48.1101570129395,1.41517186164856,1.00199997425079,9.03449981706217e-05,-0.186404585838318,1.6406683921814,1.05120261650882e-06,49804.6875,30273.4375
50,44,6,48,48.1726570129395,1.40223288536072,1.00300002098083,8.95850025699474e-05,-0.191135048866272,1.55462074279785,1.09020709260221e-06,48828.125,29296.875
50,43,7,48,47.9609375,1.56736826896667,0.981000006198883,9.11099996301346e-05,-0.188647568225861,0.788862109184265,9.47823082242394e-07,50781.25,31250
50,43,7,48,48.11328125,1.49656224250793,1.00899994373322,9.00849991012365e-05,-0.20448112487793,1.65523028373718,1.06369918739802e-06,49804.6875,29296.875
50,43,7,48,47.8687515258789,1.64949584007263,0.98199999332428,9.18000005185604e-05,-0.19580602645874,0.712928414344788,9.97257984636235e-07,51757.8125,29296.875
50,43,7,48,47.953125,1.60072004795074,0.981000006198883,9.13399999262765e-05,-0.203953415155411,0.73086941242218,9.24069865959609e-07,49804.6875,30273.4375
50,43,7,48,48.0421867370605,1.54315602779388,1.00999999046326,8.92800017027184e-05,-0.197176396846771,1.67726635932922,1.16723435894528e-06,48828.125,28320.3125
50,43,7,48,48.1484375,1.59205341339111,0.981000006198883,9.10200033104047e-05,-0.204788535833359,0.850495040416718,9.82392293735757e-07,50781.25,30273.4375
50,43,7,49,48.234375,1.4816278219223,0.98199999332428,9.1050002083648e-05,-0.193106859922409,1.00734376907349,9.70656856225105e-07,46875,31250
50,42,8,48,48.1039047241211,1.60267090797424,1,9.17750003281981e-05,-0.194041818380356,1.34661781787872,9.88162923931668e-07,47851.5625,30273.4375
50,42,8,48,48.0796890258789,1.55882108211517,1.01600003242493,9.00649974937551e-05,-0.204783737659454,1.78127026557922,1.07628568457585e-06,48828.125,29296.875
50,42,8,48,47.9210929870605,1.64215159416199,0.986999988555908,7.3930001235567e-05,-0.444758236408234,0.853376924991608,8.5075015476832e-07,51757.8125,30273.4375
50,42,8,48,48.1421890258789,1.49278223514557,1.0110000371933,8.83899992913939e-05,-0.198825478553772,1.77637219429016,1.08852384528291e-06,48828.125,30273.4375
50,42,8,48,48.0093765258789,1.61111450195312,0.989000022411346,9.1430003521964e-05,-0.161920994520187,1.08720588684082,1.01310138234112e-06,46875,31250
50,41,9,48,47.9710922241211,1.72139430046082,1.00199997425079,9.24449996091425e-05,-0.235199749469757,1.28115296363831,8.78933008152671e-07,48828.125,30273.4375
50,41,9,48,48.1781234741211,1.52061355113983,0.996999979019165,9.04900007299148e-05,-0.210011959075928,1.30590546131134,1.04478044704592e-06,49804.6875,29296.875
50,41,9,48,47.7210922241211,1.87311136722565,1.00899994373322,9.26450011320412e-05,-0.206947535276413,1.33729076385498,1.07563801066135e-06,49804.6875,29296.875
50,41,9,48,48.0734367370605,1.56613314151764,1.01999998092651,8.95949997357093e-05,-0.227132588624954,1.81986713409424,1.04381558685418e-06,48828.125,28320.3125
50,41,9,48,47.8851547241211,1.69903576374054,0.984000027179718,9.03399995877407e-05,-0.232180625200272,0.807572960853577,9.49664070049039e-07,51757.8125,27343.75
